ordinal	category	entity	title	url	status	http_code	content_type	bytes	html_path	text_path	error
318	开源生态项目 / 组织 / 仓库 / 标准入口（来源首页+深链+事件）	Ceph 官网/文档/社区	开源存储项目	https://tracker.ceph.com/	success	200	text/html; charset=utf-8	8466	reference/web/batch-09/raw/92cbaeb2e32c607e.html	reference/web/batch-09/text/92cbaeb2e32c607e.md	
328	开源生态项目 / 组织 / 仓库 / 标准入口（来源首页+深链+事件）	Dragonfly 官网/仓库	Redis 兼容内存数据存储	https://dragonfly.discourse.group/	success	200	text/html; charset=utf-8	69720	reference/web/batch-09/raw/305fba5dc42f7823.html	reference/web/batch-09/text/305fba5dc42f7823.md	
338	开源生态项目 / 组织 / 仓库 / 标准入口（来源首页+深链+事件）	Gluster 站点	分布式网络文件系统	https://www.gluster.org/	success	200	text/html; charset=UTF-8	47310	reference/web/batch-09/raw/6f4f1dec625bec69.html	reference/web/batch-09/text/6f4f1dec625bec69.md	
348	开源生态项目 / 组织 / 仓库 / 标准入口（来源首页+深链+事件）	LevelDB 仓库	轻量级嵌入式 KV	https://github.com/google/leveldb	failed	000	0				curl-exit-28    0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:01 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:02 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:03 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:04 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:05 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:06 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:07 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:08 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:09 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:10 --:--:--     0 curl: (28) Failed to connect to github.com port 443 after 10006 ms: Timeout was reached 
358	开源生态项目 / 组织 / 仓库 / 标准入口（来源首页+深链+事件）	Lustre 官网/文档/邮件列表/仓库	并行文件系统	https://github.com/lustre/lustre-release	failed	000	0				curl-exit-28    0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:01 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:02 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:03 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:04 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:05 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:06 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:07 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:08 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:09 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:10 --:--:--     0 curl: (28) Failed to connect to github.com port 443 after 10006 ms: Timeout was reached 
368	开源生态项目 / 组织 / 仓库 / 标准入口（来源首页+深链+事件）	OpenEBS 官网	K8s 存储项目	https://openebs.io/	success	200	text/html; charset=UTF-8	1759	reference/web/batch-09/raw/a3c4dad77c0a279b.html	reference/web/batch-09/text/a3c4dad77c0a279b.md	
378	开源生态项目 / 组织 / 仓库 / 标准入口（来源首页+深链+事件）	Redpanda 官网	Kafka 兼容流平台	https://github.com/redpanda-data/redpanda	failed	000	0				curl-exit-28    0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:01 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:02 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:03 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:04 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:05 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:06 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:07 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:08 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:09 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:10 --:--:--     0 curl: (28) Failed to connect to github.com port 443 after 10001 ms: Timeout was reached 
388	开源生态项目 / 组织 / 仓库 / 标准入口（来源首页+深链+事件）	Rook 官网/文档/源码	Kubernetes Operator 项目	https://rook.io/	success	200	text/html; charset=utf-8	12524	reference/web/batch-09/raw/4ccca2c947bcbbc3.html	reference/web/batch-09/text/4ccca2c947bcbbc3.md	
398	开源生态项目 / 组织 / 仓库 / 标准入口（来源首页+深链+事件）	ScyllaDB 官网	分布式 NoSQL	https://www.scylladb.com/blog/	success	200	text/html; charset=UTF-8	134640	reference/web/batch-09/raw/8d5b2821774f7420.html	reference/web/batch-09/text/8d5b2821774f7420.md	
408	开源生态项目 / 组织 / 仓库 / 标准入口（来源首页+深链+事件）	TiKV 官网/仓库	分布式事务 KV	https://tikv.org/	success	200	text/html; charset=UTF-8	19006	reference/web/batch-09/raw/d0e19a703cff4f9d.html	reference/web/batch-09/text/d0e19a703cff4f9d.md	
418	开源生态项目 / 组织 / 仓库 / 标准入口（来源首页+深链+事件）	Yugabyte 官网	分布式 PostgreSQL 兼容数据库	https://www.yugabyte.com/	success	200	text/html; charset=UTF-8	239974	reference/web/batch-09/raw/70f94a8b7d1c3a31.html	reference/web/batch-09/text/70f94a8b7d1c3a31.md	
428	组一：开源项目与社区（15）	Alluxio architecture	架构文档（深链）	https://docs.alluxio.io/os/user/stable/en/overview/	success	200	text/html; charset=utf-8	393645	reference/web/batch-09/raw/04a23e4a9e5e7ff2.html	reference/web/batch-09/text/04a23e4a9e5e7ff2.md	
438	组三：底层协议、内核与社区入口（10）	Linux Kernel Labs filesystems lab	社区教学资料	https://linux-kernel-labs.github.io/	success	200	text/html; charset=utf-8	101	reference/web/batch-09/raw/d2ee65b89d02da84.html	reference/web/batch-09/text/d2ee65b89d02da84.md	
